entity_id,meridian_code,name_ko,name_zh,meridian,location_ko,location_en,method,needling,category
SP13,SP,부사,府舍,족태음비경,"아랫배, 배꼽(umbilicus) 중심에서 아래쪽으로 4.3寸, 앞정중선(anterior median line)에서 가쪽으로 4寸.","On the lower abdomen, 4.3 B-cun inferior to the center of the umbilicus, 4 B-cun lateral to the anterior median line.",,"- 直刺 0.5～1寸

- 斜刺 0.5～1寸",acupoint
SP14,SP,복결,腹結,족태음비경,"아랫배, 배꼽(umbilicus) 중심에서 아래쪽으로 1.3寸, 앞정중선(anterior median line)에서 가쪽으로 4寸.","On the lower abdomen, 1.3 B-cun inferior to the center of the umbilicus, 4 B-cun lateral to the anterior median line.",,"- 直刺 0.5～1寸

- 斜刺 0.5～1寸",acupoint
SP15,SP,대횡,大橫,족태음비경,"윗배, 배꼽(umbilicus) 중심에서 가쪽으로 4寸.","On the upper abdomen, 4 B-cun lateral to the center of the umbilicus.
Note: At the same level and lateral to ST25, KI16 and CV8.",,"- 直刺 0.5～1寸

- 斜刺 0.7～1.5寸

- 橫刺 2～2.5寸

- 蛔蟲症 치료시는 臍中을 향해 橫刺한다.",acupoint
SP16,SP,복애,腹哀,족태음비경,"윗배, 배꼽(umbilicus) 중심에서 위쪽으로 3寸, 앞정중선(anterior median line)에서 가쪽으로 4寸.","On the upper abdomen, 3 B-cun superior to the center of the umbilicus, 4 B-cun lateral to the anterior median line.
Note: 3 B-cun superior to SP15, at the same level as CV11.",,"- 直刺 0.5～1寸

- 斜刺 0.7～1寸",acupoint
SP17,SP,식두,食竇,족태음비경,"앞가슴부위, 다섯째 갈비사이공간(the 5th intercostal space), 앞정중선(anterior median line)에서 가쪽으로 6寸.","In the anterior thoracic region, in the 5th intercostal space, 6 B-cun lateral to the anterior median line.
Note: SP17, ST18, and KI22 are located along the curve of the 5th intercostal space.",,"- 直刺 0.2～0.3寸 (不宜深刺)

- 斜刺 0.3～0.4寸",acupoint
SP18,SP,천계,天谿,족태음비경,"앞가슴부위, 넷째 갈비사이공간(the 4th intercostal space), 앞정중선(anterior median line)에서 가쪽으로 6寸.","In the anterior thoracic region, in the 4th intercostal space, 6 B-cun lateral to the anterior median line.
Note: SP18, ST17, and KI23 are located along the curve of the 4th intercostal space.",,"- 直刺 0.2～0.3寸 (不宜深刺)

- 斜刺 0.3～0.5寸",acupoint
SP19,SP,흉향,胸鄕,족태음비경,"앞가슴부위, 셋째 갈비사이공간(the 3rd intercostal space), 앞정중선(anterior median line)에서 가쪽으로 6寸.","In the anterior thoracic region, in the 3rd intercostal space, 6 B-cun lateral to the anterior median line.
Note: SP19, ST16, and KI24 are located along the curve of the 3rd intercostal space.",,"- 直刺 0.2～0.3寸 (不宜深刺)

- 斜刺 0.3～0.5寸",acupoint
SP20,SP,주영,周榮,족태음비경,"앞가슴부위, 둘째 갈비사이공간(the 2nd intercostal space), 앞정중선(anterior median line)에서 가쪽으로 6寸.","In the anterior thoracic region, in the 2nd intercostal space, 6 B-cun lateral to the anterior median line.
Note: SP20, ST15, and KI25 are located along the curve of the 2nd intercostal space.",,"- 直刺 0.2～0.4寸

- 斜刺 0.3～0.5寸",acupoint
SP21,SP,대포,大包,족태음비경,"가쪽가슴부위, 여섯째 갈비사이공간(the 6th intercostal space), 중간겨드랑선(midaxillary line) 위.","In the lateral thoracic region, in the 6th intercostal space, on the midaxillary line.","옆으로 누워 팔을 외전시켰을 때, 중간겨드랑선과 여섯째 갈비사이공간이 만나는 곳에서 취혈한다.","- 直刺 0.2～0.3寸 (不宜深刺)

- 斜刺 0.3～0.4寸",acupoint
HT1,HT,극천,極泉,수소음심경,"겨드랑, 겨드랑 중심(centre of the axillary fossa), 겨드랑동맥(axillary artery)이 뛰는 곳.","In the axilla, in the centre of the axillary fossa, over the axillary artery.","팔꿈치를 구부리고 팔을 들어 손바닥을 머리 뒤쪽에 두고, 겨드랑동맥이 뛰는 부위를 취혈한다.","- 直刺 0.2～0.5寸 (上向하여 겨드랑이로 향해)

- 혈관, 신경을 찌르지 않도록 주의한다.",acupoint
HT2,HT,청령,靑靈,수소음심경,"위팔 안쪽면, 위팔두갈래근(biceps brachii muscle)의 안쪽모서리 바로 안쪽, 팔오금주름(cubital crease)에서 위쪽으로 3寸.","On the medial aspect of the arm, just medial to the biceps brachii muscle, 3 B-cun superior to the cubital crease.","팔꿈치를 굽히고 위팔을 외전했을 때, 極泉(HT1)과 少海(HT3)를 연결하는 선에서 위쪽으로부터 2/3, 아래쪽으로부터 1/3이 되는 지점에서 취혈한다.","- 直刺 0.3～0.5寸 (臂內側에서 外側으로)

- 斜刺 0.5～1寸",acupoint
HT3,HT,소해,少海,수소음심경,"팔꿈치 앞안쪽면, 위팔뼈 안쪽위관절융기(medial epicondyle of the humerus) 바로 앞쪽, 팔오금주름(cubital crease)과 같은 높이.","On the anteromedial aspect of the elbow, just anterior to the medial epicondyle of the humerus, at the same level as the cubital crease.","팔꿈치를 굽혔을 때, 팔오금주름 안쪽끝과 위팔뼈 안쪽위관절융기를 연결하는 선의 중점에서 취혈한다.","- 直刺 0.3～0.8寸

- 斜刺 0.5～1寸",acupoint
HT4,HT,영도,道,수소음심경,"아래팔 앞안쪽면, 자쪽손목굽힘근힘줄(flexor carpi ulnaris tendon)의 노쪽모서리 바로 노쪽, 손바닥쪽 손목주름(palmar wrist crease)에서 몸쪽으로 1.5寸.","On the anteromedial aspect of the forearm, just radial to the flexor carpi ulnaris tendon, 1.5 B-cun proximal to the palmar wrist crease.","콩알뼈(pisiform bone) 위모서리 노쪽에서 몸쪽으로 1.5寸, 즉 神門(HT7)에서 몸쪽으로 1.5寸에서 취혈한다. 자뼈머리(head of the ulna)의 위모서리 및 列缺(LU7)과 같은 높이에 위치한다.","- 直刺 0.2～0.5寸 

- 斜刺 0.5～0.8寸",acupoint
HT5,HT,통리,通里,수소음심경,"아래팔 앞안쪽면, 자쪽손목굽힘근힘줄(flexor carpi ulnaris tendon) 노쪽, 손바닥쪽 손목주름(palmar wrist crease)에서 몸 쪽으로 1寸.","On the anteromedial aspect of the forearm, radial to the flexor carpi ulnaris tendon, 1 B-cun proximal to the palmar wrist crease.","콩알뼈 몸쪽모서리 노쪽에서 몸 쪽으로 1寸, 즉 神門(HT7)에서 몸 쪽으로 1寸, 經渠(LU8)와 같은 높이에서 취혈한다. 靈道(HT4)는 자뼈머리(head of the ulna)의 뿌리, 通里(HT5)는 자뼈머리의 몸통, 陰郄(HT6)은 자뼈머리의 바닥과 같은 높이에 위치한다.","- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸",acupoint
HT6,HT,음극,陰郄,수소음심경,"아래팔 앞안쪽면, 자쪽손목굽힘근힘줄(flexor carpi ulnaris tendon)의 노쪽, 손바닥 쪽 손목주름(palmar wrist crease)에서 몸 쪽으로 0.5寸.","On the anteromedial aspect of the firearm, radial to the flexor carpi ulnaris tendon, 0.5 B-cun proximal to the palmar wrist crease.","콩알뼈(pisiform bone) 몸 쪽 모서리 노쪽에서 몸 쪽으로 0.5寸, 즉 神門(HT7)에서 몸 쪽으로 0.5寸에서 취혈한다. 자뼈머리(head of the ulna)의 먼 쪽 모서리와 같은 높이에 위치한다.","- 直刺 0.3～0.5寸 

- 斜刺 0.5～1寸",acupoint
HT7,HT,신문,神門,수소음심경,"손목 앞안쪽면, 자쪽손목굽힘근힘줄(flexor carpi ulnaris tendon)의 노쪽모서리 노쪽, 손바닥 쪽 손목주름(palmar wrist crease) 위.","On the anteromedial aspect of the wrist, radial to the flexor carpi ulnaris tendon, on the palmar wrist crease.","손바닥을 위로 향했을 때, 콩알뼈(pisiform bone) 몸 쪽 모서리의 노쪽 오목한 곳으로, 손바닥 쪽 손목주름 위에서 취혈한다.","- 直刺 0.2～0.5寸 

- 斜刺 0.5～0.8寸",acupoint
HT8,HT,소부,少府,수소음심경,"손바닥, 넷째와 다섯째 손허리뼈(the 4th and 5th metacarpal bones) 사이, 다섯째 손허리손가락관절(the 5th metacarpophalangeal joint)의 몸 쪽 오목한 곳.
※주 : 勞宮(PC8)과 같은 높이에 위치한다.","On the palm of the hand, in the depression between the fourth and fifth metacarpal bones, proximal to the fifth metacarpophalangeal joint.
Note: at the same level as PC8.","주먹을 쥘 때, 새끼손가락 끝이 손바닥에 닿는 부위에서 취혈한다.","- 直刺 0.3～0.5寸(鍼尖을 손바닥에서 손등을 향해 刺入)

- 斜刺 0.3～0.5寸",acupoint
HT9,HT,소충,少衝,수소음심경,"새끼손가락, 끝마디뼈(distal phalanx)의 노쪽, 새끼손톱 노쪽 뿌리각(radial corner of the little fingernail)에서 몸가쪽으로 0.1寸.","On the little finger, radial to the distal phalanx, 0.1 F-cun proximal-lateral to the radial corner of the little fingernail, at the intersection of the vertical line of the radial border of the nail and the horizontal line of the base of the little fingernail.",새끼손톱의 노쪽모서리를 지나는 수직선과 손톱뿌리를 지나는 수평선이 만나는 지점에서 취혈한다.,"- 直刺 0.1～0.2寸 

- 斜刺 0.2～0.3寸

- 三稜鍼으로 點刺出血",acupoint
SI1,SI,소택,少澤,수태양소장경,"새끼손가락, 끝마디뼈(distal phalanx)의 자쪽, 새끼손톱 자쪽 뿌리각(ulnar corner of the little fingernail)에서 몸 안쪽으로 0.1寸.","On the little finger, ulnar to the distal phalanx, 0.1 F-cun proximal-medial to the ulnar corner of the little fingernail, at the intersection of the vertical line of ulnar border of the nail and the horizontal line of the base of the little fingernail.",새끼손톱의 자쪽모서리를 지나는 수직선과 손톱뿌리를 지나는 수평선이 만나는 지점에서 취혈한다.,"- 直刺 0.1～0.2寸

- 斜刺 0.2～0.3寸 (약간 上向)

- 三稜鍼으로 點刺出血",acupoint
SI2,SI,전곡,前谷,수태양소장경,"새끼손가락, 다섯째 손허리손가락관절(the 5th metacarpophalangeal joint)자쪽의 먼 쪽 오목한 곳, 赤白肉際.","On the little finger, in the depression distal to the ulnar side of the fifth metacarpophalangeal joint, at the border between the red and white flesh.","손을 약간 굽혔을 때, 새끼손가락의 손바닥 쪽 손허리손가락주름(palmar metacarpophalangeal crease) 자쪽 끝에서 취혈한다.","- 直刺 0.2～0.3寸

- 斜刺 0.3～0.5寸",acupoint
SI3,SI,후계,後谿,수태양소장경,"손등, 다섯째 손허리손가락관절(the 5th metacarpophalangeal joint) 자쪽의 몸 쪽 오목한 곳, 赤白肉際.","On the dorsum of the hand, in the depression proximal to the ulnar side of the fifth metacarpophalangeal joint, at the border between the red and white flesh.","손을 약간 굽혔을 때, 손바닥의 먼 쪽 가로피부주름(distal transverse skin crease)의 자쪽 끝, 赤白肉際에서 취혈한다.","- 直刺 0.5～1寸

- 斜刺 0.5～2寸 (주먹을 쥐고 中手骨을 沿해 外側에서 前內方으로)

- 手指痙攣 치료시 合谷을 향해 1.5～2寸 透刺",acupoint
SI4,SI,완골,腕骨,수태양소장경,"손목 뒤 안쪽면, 다섯째 손허리뼈바닥(base of the 5th metacarpal bone)과 세모뼈(triquetrum bone) 사이의 오목한 곳, 赤白肉際.","On the posteromedial aspect of the wrist, in the depression between the base of the fifth metacarpal bone and the triquetrum bone, at the border between the red and white flesh.","손가락을 後谿(SI3)에서 다섯째 손허리뼈를 따라 몸 쪽으로 뼈가 튀어나온 곳까지 밀면, 다섯째 손허리뼈와 세모뼈 사이의 오목한 곳에 이른다. 이 곳의 赤白肉際에서 취혈한다.","- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸",acupoint
SI5,SI,양곡,陽谷,수태양소장경,"손목 뒤 안쪽면, 자뼈붓돌기(ulnar styloid process)와 세모뼈(triquetrum bone) 사이의 오목한 곳.","On the posteromedial aspect of the wrist, in the depression between the triquetrum bone and the ulnar styloid process.",,"- 直刺 0.2～0.4寸

- 斜刺 0.3～0.5寸",acupoint
SI6,SI,양로,養老,수태양소장경,"아래팔 뒤 안쪽면, 자뼈머리(head of the ulna)의 노쪽, 손등 쪽 손목주름(dorsal wrist crease)에서 몸 쪽으로 1寸 지점의 오목한 곳.","On the posteromedial aspect of the forearm, in the depression radial to the head of the ulnar bone, 1 B-cun proximal to the dorsal wrist crease.","손바닥을 아래로 향하게 하고, 다른 손의 한 손가락으로 자뼈머리의 가장 높은 지점을 누른 상태에서, 손바닥을 가슴 쪽으로 돌리면 손가락이 미끄러져 들어가는 뼈 사이의 틈새에서 취혈한다.","- 直刺 0.3～0.5寸

- 斜刺 1～1.5寸 (內關(PC6)을 향해 刺入)",acupoint
SI7,SI,지정,支正,수태양소장경,"아래팔 뒤 안쪽면, 자뼈 안쪽모서리(medial border of the ulna)와 자쪽손목굽힘근(flexor carpi ulnaris muscle)의 사이, 손등 쪽 손목주름(dorsal wrist crease)에서 몸 쪽으로 5寸.","On the posteromedial aspect of the forearm, between the medial border of the ulnar bone and the flexor carpi ulnaris muscle, 5 B-cun proximal to the dorsal wrist crease.",陽谷(SI5)과 小海(SI8)를 연결하는 선의 중점에서 먼 쪽으로 1寸 지점에서 취혈한다.,"- 直刺 0.3～0.5寸

- 斜刺 0.3～0.5寸",acupoint
SI8,SI,소해,小海,수태양소장경,"팔꿈치 뒤 안쪽면, 자뼈 팔꿈치머리(olecranon)와 위팔뼈 안쪽위관절융기(medial epicondyle of the humerus)사이의 오목한 곳.","On the posteromedial aspect of the elbow, in the depression between the olecranon and the medial epicondyle of the humerus bone.","팔꿈치를 약간 굽혔을 때, 자신경고랑(groove for the ulnar nerve)에 해당하는 곳에서 취혈한다. 손가락으로 그곳을 두드리면 전기 통하는 느낌이 새끼손가락까지 전달된다.","- 直刺 0.2～0.5寸

- 斜刺 0.3～0.7寸",acupoint
SI9,SI,견정,肩貞,수태양소장경,"팔이음뼈(shoulder girdle), 어깨관절(shoulder joint) 아래뒤쪽, 겨드랑주름(axillary fold) 뒤쪽끝에서 위쪽으로 1寸.","On the shoulder girdle, posteroinferior to the shoulder joint, 1 B-cun superior to the posterior end of the axillary fold.","팔을 몸통에 붙이고, 뒤겨드랑주름 끝에서 위쪽으로 1寸, 어깨세모근(deltoid muscle)의 뒤에서 취혈한다.","- 直刺 0.5～1寸

- 斜刺 0.5～1.5寸",acupoint
SI10,SI,노수,臑兪,수태양소장경,"팔이음뼈(shoulder girdle), 겨드랑주름(axillary fold) 뒤쪽끝에서 위쪽, 어깨뼈가시(spine of the scapula) 아래쪽 오목한 곳.","On the shoulder girdle, superior to the posterior end of the axillary fold, in the depression inferior to the spine of the scapula.",,"- 直刺 0.5～1寸

- 斜刺 1～2寸 (약간 前下方으로)",acupoint
SI11,SI,천종,天宗,수태양소장경,"어깨뼈부위, 어깨뼈가시(spine of the scapula) 중점과 어깨뼈 아래각(inferior angle of the scapula)을 연결하는 선에서 위쪽으로부터 1/3과 아래쪽으로 부터 2/3가 되는 지점의 오목한 곳.","In the scapular region, in the depression between the upper one third and lower two thirds of the line connecting the midpoint of the spine of the scapula with the inferior angle of the scapula.",,"- 直刺 0.5寸

- 斜刺 0.5～1寸 (주위를 향해서)",acupoint
SI12,SI,병풍,秉風,수태양소장경,"어깨뼈부위, 가시위오목(supraspinatus fossa), 어깨뼈가시(spine of the scapula) 중점 위쪽의 오목한 곳.","In the scapular region, in the supraspinatous fossa, superior to the midpoint of the spine of the scapula.",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～0.7寸",acupoint
SI13,SI,곡원,曲垣,수태양소장경,"어깨뼈부위, 어깨뼈가시(spine of the scapula) 안쪽끝 위쪽 오목한 곳.","In the scapular region, in the depression superior to the medial end of the spine of the scapula.
Note: SI13 is located at the midpoint of the line connecting SI10 with the spinous process of the second thoracic vertebra (T2).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～0.8寸",acupoint
